tagihan_id;mahasiswa;tanggal_jatuh_tempo;is_terlambat;nominal_tagihan;nominal_harus_bayar;jenis_pembayaran;tahun_ajaran;semester_tagihan;jenis_semester;bulan_jatuh_tempo;angkatan;kode_prodi;nama_prodi;jalur_masuk;subjalur_masuk;jenis_kelamin;statusmhs_periode;is_statusmhs_periode_missing;kps_status;is_kps_status_missing;jumlah_saudara;is_jumlah_saudara_missing;penghasilan_ortu_label;is_penghasilan_ortu_missing;pendidikan_ayah_label;is_pendidikan_ayah_missing;pendidikan_ibu_label;is_pendidikan_ibu_missing;pekerjaan_ayah;is_pekerjaan_ayah_missing;pekerjaan_ibu;is_pekerjaan_ibu_missing;prev_tagihan_count;prev_late_count;prev_late_ratio;prev_cicilan_count;prev_cicilan_ratio
2541;Mahasiswa 0732;2015-08-31;0;2000000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;21412;Teknik Mekatronika;UMPCR;UMPCR II;P;Aktif;0;Unknown;1;4;0;Diatas 5 Juta;0;S1;0;S1;0;Tani;0;Tani;0;2;0;0.0000;1;0.5000
2542;Mahasiswa 0733;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;56401;Teknik Komputer;UMPCR;UMPCR I;P;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2543;Mahasiswa 0734;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;55301;Teknik Informatika;PSUD;SMK;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2544;Mahasiswa 0735;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;2;Genap;8;2013;57301;Sistem Informasi;UMPCR;UMPCR II;P;Aktif;0;Unknown;0;6;0;2 Juta;0;S2;0;S2;0;PNS;0;PNS;0;1;0;0.0000;0;0.0000
2545;Mahasiswa 0736;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;20301;Teknik Elektronika;UMPCR;UMPCR II;P;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2546;Mahasiswa 0737;2015-08-31;0;2000000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;UMPCR;UMPCR I;P;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2547;Mahasiswa 0738;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;55301;Teknik Informatika;PSUD;SMU;P;Aktif;0;Unknown;1;1;0;3 Juta;0;S2;0;S1;0;PNS;0;IRT;0;1;0;0.0000;0;0.0000
2548;Mahasiswa 0739;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;20401;Teknik Elektronika;UMPCR;UMPCR I;L;Aktif;0;Unknown;1;4;0;1 Juta;0;S1;0;S1;0;-;0;Wiraswasta;0;1;0;0.0000;0;0.0000
2549;Mahasiswa 0740;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;55301;Teknik Informatika;UMPCR;UMPCR I;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2550;Mahasiswa 0741;2015-08-31;0;3000000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;20401;Teknik Elektronika;UMPCR;UMPCR II;P;Aktif;0;Unknown;1;3;0;1 Juta;0;SD;0;SD;0;-;0;Tani;0;2;0;0.0000;1;0.5000
2552;Mahasiswa 0743;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;UMPCR;UMPCR I;P;Aktif;0;Unknown;0;3;0;1 Juta;0;SMP;0;SMP;0;Nelayan;0;-;0;1;0;0.0000;0;0.0000
2553;Mahasiswa 0744;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;20401;Teknik Elektronika;UMPCR;UMPCR I;P;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2555;Mahasiswa 0746;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;55301;Teknik Informatika;UMPCR;UMPCR I;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
3218;Mahasiswa 0746;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;5;Ganjil;8;2013;55301;Teknik Informatika;UMPCR;UMPCR I;L;Unknown;1;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2557;Mahasiswa 0748;2015-08-31;0;3400000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;PSUD;Beasiswa YPCR;P;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;2;0;0.0000;1;0.5000
2558;Mahasiswa 0749;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;55301;Teknik Informatika;UMPCR;UMPCR II;P;Aktif;0;Unknown;0;1;0;4 Juta;0;S1;0;S2;0;Tani;0;Guru;0;1;0;0.0000;0;0.0000
2559;Mahasiswa 0750;2015-08-31;0;5400000.00;5400000.00;Semester;2014/2015;4;Genap;8;2013;20401;Teknik Elektronika;UMPCR;UMPCR I;L;Aktif;0;Unknown;1;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
2560;Mahasiswa 0751;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;PSUD;SMK;L;Aktif;0;Unknown;1;3;0;3 Juta;0;S1;0;S1;0;Tani;0;-;0;1;0;0.0000;0;0.0000
2561;Mahasiswa 0752;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;PSUD;SMU;P;Aktif;0;Unknown;1;4;0;4 Juta;0;S2;0;S2;0;Guru;0;Guru;0;1;0;0.0000;0;0.0000
2562;Mahasiswa 0753;2015-08-31;0;5800000.00;5800000.00;Semester;2014/2015;4;Genap;8;2013;57301;Sistem Informasi;UMPCR;UMPCR II;L;Aktif;0;Unknown;0;;1;Unknown;1;Tidak diisi;1;Tidak diisi;1;Unknown;1;Unknown;1;1;0;0.0000;0;0.0000
